ID,DOSE,TIME,CONC,CPT
3,30,16,13.42374,Fat
3,30,0,0,Heart
3,30,0.25,330.4306,Heart
3,30,0.5,209.9611,Heart
3,30,1,1192.648,Heart
3,30,2,265.0329,Heart
3,30,4,85.53333,Heart
3,30,8,194.4722,Heart
3,30,12,NA,Heart
3,30,16,100.1618,Heart
3,30,0,0,Intestine
3,30,0.25,55243.86,Intestine
3,30,0.5,2357.76,Intestine
3,30,1,24782.29,Intestine
3,30,2,1542.009,Intestine
3,30,4,1607.407,Intestine
3,30,8,1349.258,Intestine
3,30,12,593.7425,Intestine
3,30,16,211.6821,Intestine
3,30,0,0,Kidney
3,30,0.25,1996.351,Kidney
3,30,0.5,2374.97,Kidney
3,30,1,8656.593,Kidney
3,30,2,2409.39,Kidney
3,30,4,3355.936,Kidney
3,30,8,2426.6,Kidney
3,30,12,686.6761,Kidney
3,30,16,397.5493,Kidney
3,30,0,0,Liver
3,30,0.25,12993.5,Liver
3,30,0.5,3923.863,Liver
3,30,1,25642.79,Liver
3,30,2,3355.936,Liver
3,30,4,4061.543,Liver
3,30,8,2443.81,Liver
3,30,12,901.8002,Liver
3,30,16,438.8531,Liver
3,30,0,0,Lung
3,30,0.25,2065.191,Lung
3,30,0.5,3097.787,Lung
3,30,1,16005.23,Lung
3,30,2,3424.775,Lung
3,30,4,6746.292,Lung
3,30,8,3717.344,Lung
3,30,12,NA,Lung
3,30,16,3579.665,Lung
3,30,0,0,Muscle
3,30,0.25,81.57505,Muscle
3,30,0.5,90.35211,Muscle
3,30,1,650.5352,Muscle
3,30,2,129.2466,Muscle
3,30,4,133.8932,Muscle
3,30,8,81.05875,Muscle
3,30,12,33.55936,Muscle
3,30,16,16.93457,Muscle
3,30,0,0,Plasma
3,30,0.25,1545.451,Plasma
3,30,0.5,736.5849,Plasma
3,30,1,2908.478,Plasma
3,30,2,555.8806,Plasma
3,30,4,444.0161,Plasma
3,30,8,462.947,Plasma
3,30,12,218.5661,Plasma
3,30,16,76.58417,Plasma
4,60,0,0,Brain
4,60,0.25,72.28169,Brain
4,60,0.5,258.1489,Brain
4,60,1,321.8256,Brain
4,60,2,45.9505,Brain
4,60,4,356.2455,Brain
4,60,8,24.266,Brain
4,60,12,38.55024,Brain
4,60,16,1.700341,Brain
4,60,0,0,Fat
4,60,0.25,261.5909,Fat
4,60,0.5,3476.405,Fat
4,60,1,2426.6,Fat
4,60,2,252.9859,Fat
4,60,4,2409.39,Fat
4,60,8,111.3482,Fat
