TIME,Single,Mixture
0.5,3.381289407,3.68822397
1.5,4.700571373,4.217023379
2.5,4.92752081,4.718033237
3.5,5.164570114,4.633290548
4.5,4.751836732,4.356629253
5.5,4.666486884,4.372087479
6.5,4.683303728,4.683303728
7.5,1.730369016,1.928996513
8,1.251485586,1.278967732
