TIME,Single,Mixture
0.5,3.79964308,3.479288635
1.5,3.898676758,3.985760361
2.5,4.466451773,4.466451773
3.5,4.482735561,4.482735561
4.5,4.499078716,4.02974247
5.5,4.416824145,4.226649972
6.5,4.736123885,4.632909258
7.5,1.884059492,2.012808194
8,1.241849341,1.326636664
